id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
503,BE_Nuclear,2030,1,23,23,0.0
504,BE_Nuclear,2030,1,24,24,0.0
505,BE_Nuclear,2030,2,1,1,0.0
506,BE_Nuclear,2030,2,2,2,0.0
507,BE_Nuclear,2030,2,3,3,0.0
508,BE_Nuclear,2030,2,4,4,0.0
509,BE_Nuclear,2030,2,5,5,0.0
510,BE_Nuclear,2030,2,6,6,0.0
511,BE_Nuclear,2030,2,7,7,0.0
512,BE_Nuclear,2030,2,8,8,0.0
513,BE_Nuclear,2030,2,9,9,0.0
514,BE_Nuclear,2030,2,10,10,0.0
515,BE_Nuclear,2030,2,11,11,0.0
516,BE_Nuclear,2030,2,12,12,0.0
517,BE_Nuclear,2030,2,13,13,0.0
518,BE_Nuclear,2030,2,14,14,0.0
519,BE_Nuclear,2030,2,15,15,0.0
520,BE_Nuclear,2030,2,16,16,0.0
521,BE_Nuclear,2030,2,17,17,0.0
522,BE_Nuclear,2030,2,18,18,0.0
523,BE_Nuclear,2030,2,19,19,0.0
524,BE_Nuclear,2030,2,20,20,0.0
525,BE_Nuclear,2030,2,21,21,0.0
526,BE_Nuclear,2030,2,22,22,0.0
527,BE_Nuclear,2030,2,23,23,0.0
528,BE_Nuclear,2030,2,24,24,0.0
529,BE_Nuclear,2030,3,1,1,0.0
530,BE_Nuclear,2030,3,2,2,0.0
531,BE_Nuclear,2030,3,3,3,0.0
532,BE_Nuclear,2030,3,4,4,0.0
533,BE_Nuclear,2030,3,5,5,0.0
534,BE_Nuclear,2030,3,6,6,0.0
535,BE_Nuclear,2030,3,7,7,0.0
536,BE_Nuclear,2030,3,8,8,0.0
537,BE_Nuclear,2030,3,9,9,0.0
538,BE_Nuclear,2030,3,10,10,0.0
539,BE_Nuclear,2030,3,11,11,0.0
540,BE_Nuclear,2030,3,12,12,0.0
541,BE_Nuclear,2030,3,13,13,0.0
542,BE_Nuclear,2030,3,14,14,0.0
543,BE_Nuclear,2030,3,15,15,0.0
544,BE_Nuclear,2030,3,16,16,0.0
545,BE_Nuclear,2030,3,17,17,0.0
546,BE_Nuclear,2030,3,18,18,0.0
547,BE_Nuclear,2030,3,19,19,0.0
548,BE_Nuclear,2030,3,20,20,0.0
549,BE_Nuclear,2030,3,21,21,0.0
550,BE_Nuclear,2030,3,22,22,0.0
551,BE_Nuclear,2030,3,23,23,0.0
552,BE_Nuclear,2030,3,24,24,0.0
553,BE_Nuclear,2030,4,1,1,0.0
554,BE_Nuclear,2030,4,2,2,0.0
555,BE_Nuclear,2030,4,3,3,0.0
556,BE_Nuclear,2030,4,4,4,0.0
557,BE_Nuclear,2030,4,5,5,0.0
558,BE_Nuclear,2030,4,6,6,0.0
559,BE_Nuclear,2030,4,7,7,0.0
560,BE_Nuclear,2030,4,8,8,0.0
561,BE_Nuclear,2030,4,9,9,0.0
562,BE_Nuclear,2030,4,10,10,0.0
563,BE_Nuclear,2030,4,11,11,0.0
564,BE_Nuclear,2030,4,12,12,0.0
565,BE_Nuclear,2030,4,13,13,0.0
