id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
247,UK_Balance,2030,2,13,18,6.534000000000001
248,UK_Balance,2030,2,19,24,3.5046
249,UK_Balance,2030,3,1,6,0.34800000000000003
250,UK_Balance,2030,3,7,12,0.34800000000000003
251,UK_Balance,2030,3,13,18,0.34800000000000003
252,UK_Balance,2030,3,19,24,0.34800000000000003
253,UK_Balance,2030,4,1,6,0.276
254,UK_Balance,2030,4,7,12,0.276
255,UK_Balance,2030,4,13,18,0.276
256,UK_Balance,2030,4,19,24,0.276
257,UK_Balance,2030,5,1,6,0.624
258,UK_Balance,2030,5,7,12,0.624
259,UK_Balance,2030,5,13,18,0.624
260,UK_Balance,2030,5,19,24,0.624
261,UK_Balance,2030,6,1,6,0.216
262,UK_Balance,2030,6,7,12,1.9116
263,UK_Balance,2030,6,13,18,0.216
264,UK_Balance,2030,6,19,24,0.216
265,UK_Balance,2030,7,1,6,0.444
266,UK_Balance,2030,7,7,12,11.322
267,UK_Balance,2030,7,13,18,11.322
268,UK_Balance,2030,7,19,24,7.3260000000000005
269,UK_Balance,2030,8,1,6,0.372
270,UK_Balance,2030,8,7,12,0.372
271,UK_Balance,2030,8,13,18,0.372
272,UK_Balance,2030,8,19,24,0.372
273,UK_Balance,2030,9,1,6,0.516
274,UK_Balance,2030,9,7,12,0.516
275,UK_Balance,2030,9,13,18,0.516
276,UK_Balance,2030,9,19,24,0.516
277,UK_Balance,2030,10,1,6,0.552
278,UK_Balance,2030,10,7,12,9.108
279,UK_Balance,2030,10,13,18,14.075999999999999
280,UK_Balance,2030,10,19,24,9.108
