id,asset,year,rep_period,time_block_start,time_block_end,dual_minimum_up_time
276,FR_Coal,2030,9,19,24,0.0
277,FR_Coal,2030,10,1,6,0.0
278,FR_Coal,2030,10,7,12,0.0
279,FR_Coal,2030,10,13,18,0.0
280,FR_Coal,2030,10,19,24,0.0
281,FR_Nuclear,2030,1,1,6,0.0
282,FR_Nuclear,2030,1,7,12,0.0
283,FR_Nuclear,2030,1,13,18,0.0
284,FR_Nuclear,2030,1,19,24,0.0
285,FR_Nuclear,2030,2,1,6,0.0
286,FR_Nuclear,2030,2,7,12,0.0
287,FR_Nuclear,2030,2,13,18,0.0
288,FR_Nuclear,2030,2,19,24,0.0
289,FR_Nuclear,2030,3,1,6,0.0
290,FR_Nuclear,2030,3,7,12,0.0
291,FR_Nuclear,2030,3,13,18,0.0
292,FR_Nuclear,2030,3,19,24,0.0
293,FR_Nuclear,2030,4,1,6,0.0
294,FR_Nuclear,2030,4,7,12,0.0
295,FR_Nuclear,2030,4,13,18,0.0
296,FR_Nuclear,2030,4,19,24,0.0
297,FR_Nuclear,2030,5,1,6,0.0
298,FR_Nuclear,2030,5,7,12,0.0
299,FR_Nuclear,2030,5,13,18,0.0
300,FR_Nuclear,2030,5,19,24,0.0
301,FR_Nuclear,2030,6,1,6,0.0
302,FR_Nuclear,2030,6,7,12,0.0
303,FR_Nuclear,2030,6,13,18,0.0
304,FR_Nuclear,2030,6,19,24,0.0
305,FR_Nuclear,2030,7,1,6,0.0
306,FR_Nuclear,2030,7,7,12,0.0
307,FR_Nuclear,2030,7,13,18,0.0
308,FR_Nuclear,2030,7,19,24,0.0
309,FR_Nuclear,2030,8,1,6,0.0
310,FR_Nuclear,2030,8,7,12,0.0
311,FR_Nuclear,2030,8,13,18,0.0
312,FR_Nuclear,2030,8,19,24,0.0
313,FR_Nuclear,2030,9,1,6,0.0
314,FR_Nuclear,2030,9,7,12,0.0
315,FR_Nuclear,2030,9,13,18,0.0
316,FR_Nuclear,2030,9,19,24,0.0
317,FR_Nuclear,2030,10,1,6,0.0
318,FR_Nuclear,2030,10,7,12,0.0
319,FR_Nuclear,2030,10,13,18,0.0
320,FR_Nuclear,2030,10,19,24,0.0
321,LU_Coal,2030,1,1,6,0.0
322,LU_Coal,2030,1,7,12,0.0
323,LU_Coal,2030,1,13,18,0.0
324,LU_Coal,2030,1,19,24,0.0
325,LU_Coal,2030,2,1,6,0.0
326,LU_Coal,2030,2,7,12,0.0
327,LU_Coal,2030,2,13,18,0.0
328,LU_Coal,2030,2,19,24,0.0
329,LU_Coal,2030,3,1,6,0.0
330,LU_Coal,2030,3,7,12,0.0
331,LU_Coal,2030,3,13,18,0.0
332,LU_Coal,2030,3,19,24,0.0
333,LU_Coal,2030,4,1,6,0.0
334,LU_Coal,2030,4,7,12,0.0
335,LU_Coal,2030,4,13,18,0.0
336,LU_Coal,2030,4,19,24,0.0
337,LU_Coal,2030,5,1,6,0.0
338,LU_Coal,2030,5,7,12,0.0
339,LU_Coal,2030,5,13,18,0.0
340,LU_Coal,2030,5,19,24,0.0
341,LU_Coal,2030,6,1,6,0.0
342,LU_Coal,2030,6,7,12,0.0
343,LU_Coal,2030,6,13,18,0.0
344,LU_Coal,2030,6,19,24,0.0
345,LU_Coal,2030,7,1,6,0.0
346,LU_Coal,2030,7,7,12,0.0
347,LU_Coal,2030,7,13,18,0.0
348,LU_Coal,2030,7,19,24,0.0
349,LU_Coal,2030,8,1,6,0.0
350,LU_Coal,2030,8,7,12,0.0
351,LU_Coal,2030,8,13,18,0.0
352,LU_Coal,2030,8,19,24,0.0
353,LU_Coal,2030,9,1,6,0.0
354,LU_Coal,2030,9,7,12,0.0
355,LU_Coal,2030,9,13,18,0.0
356,LU_Coal,2030,9,19,24,0.0
357,LU_Coal,2030,10,1,6,0.0
358,LU_Coal,2030,10,7,12,0.0
359,LU_Coal,2030,10,13,18,0.0
