id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
171,CH_Coal,CH_Balance,2030,1,1.0,1.0,13,18,0.0
172,CH_Coal,CH_Balance,2030,1,1.0,1.0,19,24,0.0
173,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,1,6,0.0
174,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,7,12,0.0
175,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,13,18,0.0
176,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,19,24,0.0
177,CH_CCGT,CH_Balance,2030,1,1.0,1.0,1,6,1730.6742261141894
178,CH_CCGT,CH_Balance,2030,1,1.0,1.0,7,12,799.5130329554668
179,CH_CCGT,CH_Balance,2030,1,1.0,1.0,13,18,0.0
180,CH_CCGT,CH_Balance,2030,1,1.0,1.0,19,24,1518.3240212096707
181,CH_OCGT,CH_Balance,2030,1,1.0,1.0,1,6,0.0
182,CH_OCGT,CH_Balance,2030,1,1.0,1.0,7,12,0.0
183,CH_OCGT,CH_Balance,2030,1,1.0,1.0,13,18,0.0
184,CH_OCGT,CH_Balance,2030,1,1.0,1.0,19,24,0.0
185,CH_Battery,CH_Balance,2030,1,1.0,1.0,1,6,0.0
186,CH_Battery,CH_Balance,2030,1,1.0,1.0,7,12,481.8055009950531
187,CH_Battery,CH_Balance,2030,1,1.0,1.0,13,18,0.0
188,CH_Battery,CH_Balance,2030,1,1.0,1.0,19,24,481.8055009950531
189,CH_Balance,CH_Battery,2030,1,1.0,1.0,1,6,481.8055009950531
190,CH_Balance,CH_Battery,2030,1,1.0,1.0,7,12,0.0
191,CH_Balance,CH_Battery,2030,1,1.0,1.0,13,18,481.8055009950531
192,CH_Balance,CH_Battery,2030,1,1.0,1.0,19,24,0.0
193,UK_Balance,UK_E_Demand,2030,1,1.0,1.0,1,6,22321.4980629362
194,UK_Balance,UK_E_Demand,2030,1,1.0,1.0,7,12,34175.98346733675
195,UK_Balance,UK_E_Demand,2030,1,1.0,1.0,13,18,36157.03158581786
196,UK_Balance,UK_E_Demand,2030,1,1.0,1.0,19,24,33154.716206755875
197,UK_Solar,UK_Balance,2030,1,1.0,1.0,1,6,0.0
198,UK_Solar,UK_Balance,2030,1,1.0,1.0,7,12,0.0
199,UK_Solar,UK_Balance,2030,1,1.0,1.0,13,18,0.0
200,UK_Solar,UK_Balance,2030,1,1.0,1.0,19,24,0.0
201,UK_Wind_Onshore,UK_Balance,2030,1,1.0,1.0,1,6,25321.4980629362
202,UK_Wind_Onshore,UK_Balance,2030,1,1.0,1.0,7,12,32213.23780745313
203,UK_Wind_Onshore,UK_Balance,2030,1,1.0,1.0,13,18,37306.0930960476
204,UK_Wind_Onshore,UK_Balance,2030,1,1.0,1.0,19,24,36154.716206755875
205,UK_Wind_Offshore,UK_Balance,2030,1,1.0,1.0,1,6,0.0
206,UK_Wind_Offshore,UK_Balance,2030,1,1.0,1.0,7,12,0.0
207,UK_Wind_Offshore,UK_Balance,2030,1,1.0,1.0,13,18,0.0
208,UK_Wind_Offshore,UK_Balance,2030,1,1.0,1.0,19,24,0.0
