id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
396,DE_Coal,2030,9,19,24,0.0
397,DE_Coal,2030,10,1,6,-9.190799999999996
398,DE_Coal,2030,10,7,12,-9.1908
399,DE_Coal,2030,10,13,18,-96.08195993966412
400,DE_Coal,2030,10,19,24,-4.2228
401,DE_Nuclear,2030,1,1,6,0.0
402,DE_Nuclear,2030,1,7,12,0.0
403,DE_Nuclear,2030,1,13,18,0.0
404,DE_Nuclear,2030,1,19,24,0.0
405,DE_Nuclear,2030,2,1,6,0.0
406,DE_Nuclear,2030,2,7,12,0.0
407,DE_Nuclear,2030,2,13,18,0.0
408,DE_Nuclear,2030,2,19,24,0.0
409,DE_Nuclear,2030,3,1,6,0.0
410,DE_Nuclear,2030,3,7,12,0.0
411,DE_Nuclear,2030,3,13,18,0.0
412,DE_Nuclear,2030,3,19,24,0.0
413,DE_Nuclear,2030,4,1,6,0.0
414,DE_Nuclear,2030,4,7,12,0.0
415,DE_Nuclear,2030,4,13,18,0.0
416,DE_Nuclear,2030,4,19,24,0.0
417,DE_Nuclear,2030,5,1,6,0.0
418,DE_Nuclear,2030,5,7,12,0.0
419,DE_Nuclear,2030,5,13,18,0.0
420,DE_Nuclear,2030,5,19,24,0.0
421,DE_Nuclear,2030,6,1,6,0.0
422,DE_Nuclear,2030,6,7,12,0.0
423,DE_Nuclear,2030,6,13,18,0.0
424,DE_Nuclear,2030,6,19,24,0.0
425,DE_Nuclear,2030,7,1,6,0.0
426,DE_Nuclear,2030,7,7,12,0.0
427,DE_Nuclear,2030,7,13,18,0.0
428,DE_Nuclear,2030,7,19,24,0.0
429,DE_Nuclear,2030,8,1,6,0.0
430,DE_Nuclear,2030,8,7,12,0.0
431,DE_Nuclear,2030,8,13,18,0.0
432,DE_Nuclear,2030,8,19,24,0.0
433,DE_Nuclear,2030,9,1,6,0.0
434,DE_Nuclear,2030,9,7,12,0.0
435,DE_Nuclear,2030,9,13,18,0.0
436,DE_Nuclear,2030,9,19,24,0.0
437,DE_Nuclear,2030,10,1,6,0.0
438,DE_Nuclear,2030,10,7,12,0.0
439,DE_Nuclear,2030,10,13,18,0.0
