id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
274,DE_CCGT,2030,6,13,16,0.0
275,DE_CCGT,2030,6,17,20,0.0
276,DE_CCGT,2030,6,21,24,0.0
277,DE_CCGT,2030,7,1,4,0.0
278,DE_CCGT,2030,7,5,8,0.0
279,DE_CCGT,2030,7,9,12,0.0
280,DE_CCGT,2030,7,13,16,0.0
281,DE_CCGT,2030,7,17,20,0.0
282,DE_CCGT,2030,7,21,24,0.0
283,DE_CCGT,2030,8,1,4,0.0
284,DE_CCGT,2030,8,5,8,0.0
285,DE_CCGT,2030,8,9,12,0.0
286,DE_CCGT,2030,8,13,16,0.0
287,DE_CCGT,2030,8,17,20,0.0
288,DE_CCGT,2030,8,21,24,0.0
289,DE_CCGT,2030,9,1,4,0.0
290,DE_CCGT,2030,9,5,8,0.0
291,DE_CCGT,2030,9,9,12,0.0
292,DE_CCGT,2030,9,13,16,0.0
293,DE_CCGT,2030,9,17,20,0.0
294,DE_CCGT,2030,9,21,24,0.0
295,DE_CCGT,2030,10,1,4,0.0
296,DE_CCGT,2030,10,5,8,0.0
297,DE_CCGT,2030,10,9,12,0.0
298,DE_CCGT,2030,10,13,16,0.0
299,DE_CCGT,2030,10,17,20,0.0
300,DE_CCGT,2030,10,21,24,0.0
301,DE_OCGT,2030,1,1,4,0.0
302,DE_OCGT,2030,1,5,8,0.0
303,DE_OCGT,2030,1,9,12,0.0
304,DE_OCGT,2030,1,13,16,0.0
305,DE_OCGT,2030,1,17,20,0.0
306,DE_OCGT,2030,1,21,24,0.0
307,DE_OCGT,2030,2,1,4,0.0
308,DE_OCGT,2030,2,5,8,0.0
309,DE_OCGT,2030,2,9,12,0.0
310,DE_OCGT,2030,2,13,16,0.0
311,DE_OCGT,2030,2,17,20,0.0
312,DE_OCGT,2030,2,21,24,0.0
313,DE_OCGT,2030,3,1,4,0.0
314,DE_OCGT,2030,3,5,8,0.0
315,DE_OCGT,2030,3,9,12,0.0
316,DE_OCGT,2030,3,13,16,0.0
317,DE_OCGT,2030,3,17,20,0.0
318,DE_OCGT,2030,3,21,24,0.0
319,DE_OCGT,2030,4,1,4,0.0
320,DE_OCGT,2030,4,5,8,0.0
321,DE_OCGT,2030,4,9,12,0.0
322,DE_OCGT,2030,4,13,16,0.0
323,DE_OCGT,2030,4,17,20,0.0
324,DE_OCGT,2030,4,21,24,0.0
325,DE_OCGT,2030,5,1,4,0.0
326,DE_OCGT,2030,5,5,8,0.0
327,DE_OCGT,2030,5,9,12,0.0
328,DE_OCGT,2030,5,13,16,0.0
329,DE_OCGT,2030,5,17,20,0.0
330,DE_OCGT,2030,5,21,24,0.0
331,DE_OCGT,2030,6,1,4,0.0
332,DE_OCGT,2030,6,5,8,0.0
333,DE_OCGT,2030,6,9,12,0.0
334,DE_OCGT,2030,6,13,16,0.0
335,DE_OCGT,2030,6,17,20,0.0
336,DE_OCGT,2030,6,21,24,0.0
337,DE_OCGT,2030,7,1,4,0.0
338,DE_OCGT,2030,7,5,8,0.0
339,DE_OCGT,2030,7,9,12,0.0
340,DE_OCGT,2030,7,13,16,0.0
341,DE_OCGT,2030,7,17,20,0.0
342,DE_OCGT,2030,7,21,24,0.0
343,DE_OCGT,2030,8,1,4,0.0
344,DE_OCGT,2030,8,5,8,0.0
345,DE_OCGT,2030,8,9,12,0.0
346,DE_OCGT,2030,8,13,16,0.0
347,DE_OCGT,2030,8,17,20,0.0
348,DE_OCGT,2030,8,21,24,0.0
349,DE_OCGT,2030,9,1,4,0.0
350,DE_OCGT,2030,9,5,8,0.0
351,DE_OCGT,2030,9,9,12,0.0
352,DE_OCGT,2030,9,13,16,0.0
353,DE_OCGT,2030,9,17,20,0.0
354,DE_OCGT,2030,9,21,24,0.0
355,DE_OCGT,2030,10,1,4,0.0
356,DE_OCGT,2030,10,5,8,0.0
357,DE_OCGT,2030,10,9,12,0.0
358,DE_OCGT,2030,10,13,16,0.0
359,DE_OCGT,2030,10,17,20,0.0
360,DE_OCGT,2030,10,21,24,0.0
361,FR_CCGT,2030,1,1,4,0.0
362,FR_CCGT,2030,1,5,8,0.0
363,FR_CCGT,2030,1,9,12,0.0
364,FR_CCGT,2030,1,13,16,0.0
365,FR_CCGT,2030,1,17,20,0.0
366,FR_CCGT,2030,1,21,24,0.0
367,FR_CCGT,2030,2,1,4,0.0
368,FR_CCGT,2030,2,5,8,0.0
369,FR_CCGT,2030,2,9,12,4.092
370,FR_CCGT,2030,2,13,16,0.0
371,FR_CCGT,2030,2,17,20,0.0
372,FR_CCGT,2030,2,21,24,0.0
373,FR_CCGT,2030,3,1,4,0.0
374,FR_CCGT,2030,3,5,8,0.0
375,FR_CCGT,2030,3,9,12,0.0
376,FR_CCGT,2030,3,13,16,0.0
377,FR_CCGT,2030,3,17,20,0.0
378,FR_CCGT,2030,3,21,24,0.0
379,FR_CCGT,2030,4,1,4,0.0
380,FR_CCGT,2030,4,5,8,0.0
381,FR_CCGT,2030,4,9,12,0.0
382,FR_CCGT,2030,4,13,16,0.0
383,FR_CCGT,2030,4,17,20,0.0
384,FR_CCGT,2030,4,21,24,0.0
385,FR_CCGT,2030,5,1,4,0.0
386,FR_CCGT,2030,5,5,8,0.0
387,FR_CCGT,2030,5,9,12,0.0
388,FR_CCGT,2030,5,13,16,0.0
389,FR_CCGT,2030,5,17,20,0.0
390,FR_CCGT,2030,5,21,24,0.0
391,FR_CCGT,2030,6,1,4,0.0
392,FR_CCGT,2030,6,5,8,0.0
393,FR_CCGT,2030,6,9,12,0.0
394,FR_CCGT,2030,6,13,16,0.0
