id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,asset_1,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,start_up_cost,shut_down_cost,max_ramp_down,max_ramp_up,min_operating_point,minimum_down_time,minimum_up_time,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer_1,unit_commitment_method,use_binary_storage_method,max_su_ramp,max_sd_ramp,start_trajectory,shut_trajectory,dual_limit_units_on_simple_method
81,BE_Coal,2030,4,9,12,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
82,BE_Coal,2030,4,13,16,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
83,BE_Coal,2030,4,17,20,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
84,BE_Coal,2030,4,21,24,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
85,BE_Coal,2030,5,1,4,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
86,BE_Coal,2030,5,5,8,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
87,BE_Coal,2030,5,9,12,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
88,BE_Coal,2030,5,13,16,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
89,BE_Coal,2030,5,17,20,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
90,BE_Coal,2030,5,21,24,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
91,BE_Coal,2030,6,1,4,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
92,BE_Coal,2030,6,5,8,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
93,BE_Coal,2030,6,9,12,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
94,BE_Coal,2030,6,13,16,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
95,BE_Coal,2030,6,17,20,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
96,BE_Coal,2030,6,21,24,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
97,BE_Coal,2030,7,1,4,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
98,BE_Coal,2030,7,5,8,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
99,BE_Coal,2030,7,9,12,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
100,BE_Coal,2030,7,13,16,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
101,BE_Coal,2030,7,17,20,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
102,BE_Coal,2030,7,21,24,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
103,BE_Coal,2030,8,1,4,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
104,BE_Coal,2030,8,5,8,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
105,BE_Coal,2030,8,9,12,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
106,BE_Coal,2030,8,13,16,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
107,BE_Coal,2030,8,17,20,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
108,BE_Coal,2030,8,21,24,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
109,BE_Coal,2030,9,1,4,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
