id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
404,DE_Balance,2030,6,5,6,1.8359999999999999
405,DE_Balance,2030,6,7,8,1.8359999999999999
406,DE_Balance,2030,6,9,9,0.0
407,DE_Balance,2030,6,10,10,1.1880000000000002
408,DE_Balance,2030,6,11,12,0.07200000000000001
409,DE_Balance,2030,6,13,14,0.07200000000000001
410,DE_Balance,2030,6,15,15,0.0
411,DE_Balance,2030,6,16,16,0.07200000000000001
412,DE_Balance,2030,6,17,18,0.07200000000000001
413,DE_Balance,2030,6,19,20,1.8359999999999999
414,DE_Balance,2030,6,21,21,0.0
415,DE_Balance,2030,6,22,22,1.8359999999999999
416,DE_Balance,2030,6,23,24,0.07200000000000001
417,DE_Balance,2030,7,1,2,2.442
418,DE_Balance,2030,7,3,3,3.7739999999999996
419,DE_Balance,2030,7,4,4,0.0
420,DE_Balance,2030,7,5,6,3.7739999999999996
421,DE_Balance,2030,7,7,8,3.7739999999999996
422,DE_Balance,2030,7,9,9,3.7739999999999996
423,DE_Balance,2030,7,10,10,0.0
424,DE_Balance,2030,7,11,12,3.7739999999999996
425,DE_Balance,2030,7,13,14,3.7739999999999996
426,DE_Balance,2030,7,15,15,3.7739999999999996
427,DE_Balance,2030,7,16,16,0.0
428,DE_Balance,2030,7,17,18,3.7739999999999996
429,DE_Balance,2030,7,19,20,11.536465705666302
430,DE_Balance,2030,7,21,21,0.0
431,DE_Balance,2030,7,22,22,3.7739999999999996
432,DE_Balance,2030,7,23,24,3.7739999999999996
433,DE_Balance,2030,8,1,2,0.124
434,DE_Balance,2030,8,3,3,0.124
435,DE_Balance,2030,8,4,4,0.0
436,DE_Balance,2030,8,5,6,0.124
437,DE_Balance,2030,8,7,8,0.124
438,DE_Balance,2030,8,9,9,0.0
439,DE_Balance,2030,8,10,10,0.124
440,DE_Balance,2030,8,11,12,0.124
441,DE_Balance,2030,8,13,14,0.124
442,DE_Balance,2030,8,15,15,0.0
443,DE_Balance,2030,8,16,16,0.124
444,DE_Balance,2030,8,17,18,0.124
445,DE_Balance,2030,8,19,20,0.124
446,DE_Balance,2030,8,21,21,0.124
447,DE_Balance,2030,8,22,22,0.0
448,DE_Balance,2030,8,23,24,0.124
449,DE_Balance,2030,9,1,2,0.17200000000000001
450,DE_Balance,2030,9,3,3,0.17200000000000001
451,DE_Balance,2030,9,4,4,0.0
452,DE_Balance,2030,9,5,6,0.17200000000000001
453,DE_Balance,2030,9,7,8,0.17200000000000001
454,DE_Balance,2030,9,9,9,0.17200000000000001
455,DE_Balance,2030,9,10,10,0.0
456,DE_Balance,2030,9,11,12,0.17200000000000001
457,DE_Balance,2030,9,13,14,0.17200000000000001
458,DE_Balance,2030,9,15,15,0.17200000000000001
459,DE_Balance,2030,9,16,16,0.0
460,DE_Balance,2030,9,17,18,0.17200000000000001
461,DE_Balance,2030,9,19,20,0.17200000000000001
462,DE_Balance,2030,9,21,21,0.17200000000000001
463,DE_Balance,2030,9,22,22,0.0
464,DE_Balance,2030,9,23,24,0.17200000000000001
465,DE_Balance,2030,10,1,2,4.691999999999999
466,DE_Balance,2030,10,3,3,4.691999999999999
467,DE_Balance,2030,10,4,4,0.0
468,DE_Balance,2030,10,5,6,4.691999999999999
469,DE_Balance,2030,10,7,8,4.691999999999999
470,DE_Balance,2030,10,9,9,4.691999999999999
471,DE_Balance,2030,10,10,10,0.0
472,DE_Balance,2030,10,11,12,4.691999999999999
473,DE_Balance,2030,10,13,14,4.691999999999999
474,DE_Balance,2030,10,15,15,4.691999999999999
475,DE_Balance,2030,10,16,16,0.0
476,DE_Balance,2030,10,17,18,10.068199999999992
477,DE_Balance,2030,10,19,20,4.691999999999999
478,DE_Balance,2030,10,21,21,0.0
479,DE_Balance,2030,10,22,22,4.691999999999999
480,DE_Balance,2030,10,23,24,4.691999999999999
481,FR_Balance,2030,1,1,2,1.0653000000000001
482,FR_Balance,2030,1,3,3,1.749
483,FR_Balance,2030,1,4,4,-0.6837
484,FR_Balance,2030,1,5,6,3.498
485,FR_Balance,2030,1,7,8,3.498
486,FR_Balance,2030,1,9,9,4.004999999999991
487,FR_Balance,2030,1,10,10,0.0
488,FR_Balance,2030,1,11,12,3.498
489,FR_Balance,2030,1,13,14,3.498
490,FR_Balance,2030,1,15,15,0.8904
